id	Título	Autor	Editor	ISBN	página total	Etiquetas en uso	fecha inicio	fecha fin	Calificaciones de estrellas
83	Nyxia liberada	Scott Reintgen	Océano Gran Travesía	9786075276991	100%	#ScienceFiction #YoungAdult #Fantasy	17/12/2021 ~ 11/1/2022		4.0
84	Brooklyn y medio	Juan Sasturain	SUDAMERICANA	9789500742368	100%	#Mystery #Crime #Suspense #YoungAdult	1/7/2014 ~ 8/8/2014		4.0
85	Caídos del Mapa	María Inés Falconi	Quipu	9789875042858	100%		1/1/2012 ~ 23/1/2012		4.0
86	Caídos del mapa II - Con un pie en el micro	María Inés Falconi	Quipu		100%		27/1/2012 ~ 16/2/2012		3.5
87	Caidos del mapa III - En viaje de egresados	María Inés Falconi	Quipu		100%	#Childrens #MiddleGrade #Romance #SpanishLiterature	22/2/2012 ~ 16/3/2012		3.5
88	Caídos del mapa IV - Chau séptimo	María Inés Falconi	Quipu		100%	#Childrens #MiddleGrade #SpanishLiterature	2/12/2012 ~ 28/12/2012		3.5
89	Caídos del mapa V - Siempre juntos	María Inés Falconi	Quipu		100%	#Childrens #Humor #Romance #SpanishLiterature	1/1/2013 ~ 17/1/2013		3.5
90	Caídos del mapa: año más	María Inés Falconi	Quipu	9789875040991	100%	#SpanishLiterature #MiddleGrade #Childrens	30/1/2013 ~ 17/2/2013		3.5
91	Caídos del mapa VII - Un triste adiós	María Inés Falconi	Quipu		100%	#MiddleGrade #SpanishLiterature #Childrens	20/2/2013 ~ 20/3/2013		3.5
92	Caídos del mapa: Todos para uno, uno para todos	María Inés Falconi	Quipu		100%	#MiddleGrade #SpanishLiterature #Childrens #Romance	1/7/2013 ~ 18/7/2013		3.5
93	Caídos del Mapa IX - Un novio para Miriam	María Inés Falconi	Quipu		100%	#SpanishLiterature #MiddleGrade #Romance	10/11/2013 ~ 15/12/2013		3.5
94	Caídos del mapa X - ¿Llegó el final?	María Inés Falconi	Quipu		100%	#MiddleGrade #SpanishLiterature #Romance	1/12/2013 ~ 26/12/2013		3.5
95	Caídos del mapa: Fiesta de despedida	María Inés Falconi	Quipu	9789875040458	100%	#MiddleGrade #SpanishLiterature #Romance	2/1/2014 ~ 25/1/2014		3.5
96	Big data	Walter Sosa Escudero	Siglo XXI Editores	9789876299268	100%	#tecnology #adults #bigdata	1/1/2021 ~ 2/2/2021		4.0
97	El lémur	Benjamin Black			100%		3/2/2021 ~ 28/2/2021		3.5
98	Coordenadas para un crimen 1	María Inés Falconi			100%	#SpanishLiterature #YoungAdult #Mystery	1/7/2017 ~ 26/7/2017		3.5
99	Mentalidad Mamba	Kobe Bryant	Planeta Publishing	9786070767302	100%	#basketball #adults	4/2/2021 ~ 25/2/2021		4.0
100	El héroe perdido	Rick Riordan	MONTENA	9788490430569	100%	#YoungAdult #Thriller #MysteryThriller #GreekMythology #Mythology	15/1/2014 ~ 13/2/2014		3.5
